schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","1","32","100","qcif","10786","0.034046717","1.058","94.553","38.339249"
"resolution-matrix.v1","Orin (nvgpu)","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","1","32","100","qcif","10786","0.034046717","0.490000","203.933000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","1","32","100","qcif","10786","0.034046717","1.058000","94.553000","38.339249"
"resolution-matrix.v1","Orin (nvgpu)","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","1","1","32","100","cif","162007","0.127846433","1.085","92.141","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","1","1","32","100","cif","162007","0.127846433","2.103","47.549","25.994850"
"resolution-matrix.v1","Orin (nvgpu)","encode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","average","1","32","100","cif","162007","0.127846433","1.085000","92.141000","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","cif","/home/oelghati/datasets/cif/paris_cif.yuv","352x288","30","100","10","average","1","32","100","cif","162007","0.127846433","2.103000","47.549000","25.994850"
"resolution-matrix.v1","Orin (nvgpu)","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","1","32","100","360p","82370","0.028600694","2.108","47.445","null"
"resolution-matrix.v1","Orin (nvgpu)","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","1","32","100","360p","82370","0.028600694","2.902","34.460","34.907211"
"resolution-matrix.v1","Orin (nvgpu)","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","1","32","100","360p","82370","0.028600694","2.108000","47.445000","null"
