schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,process_time_seconds,process_throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","1","540p","699731","0.107983179","2.070000","48.527500","4.809782","20.790963","37.305031","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","1","720p","1137623","0.098751997","4.745","21.074","7.536965","13.267940","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","1","720p","1137623","0.098751997","3.383","29.563","6.338891","15.775630","38.654498","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","1","720p","1137623","0.098751997","5.278","18.946","8.043801","12.431934","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","1","720p","1137623","0.098751997","4.809","20.795","7.862733","12.718224","38.654498","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","1","720p","1137623","0.098751997","5.011500","20.010000","7.790383","12.836339","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","1","720p","1137623","0.098751997","4.096000","25.179000","7.100812","14.082896","38.654498","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","1","1080p","1702484","0.065682253","14.339","6.974","17.487233","5.718458","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","1","1080p","1702484","0.065682253","11.036","9.061","15.078489","6.631964","37.712054","null","null","null","null","none","0"
"resolution-matrix.v1","rtx5060","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","1080p","/input/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","1","1080p","1702484","0.065682253","10.449","9.570","13.618526","7.342939","null","null","null","null","null","none","0"
