schema,hardware,codec,operation,resolution,width,height,sequence,source_kind,qp,gop_size,source_timestamp,source_json,mode,frame_num,i_frame_num,p_frame_num,total_bytes,bitrate_kbps,model_initialization_time_s,peak_memory_mb,peak_gpu_memory_mb,reset_interval,throughput_fps,ave_i_frame_bpp,ave_i_frame_psnr,ave_i_frame_msssim,ave_i_frame_psnr_y,ave_i_frame_psnr_u,ave_i_frame_psnr_v,ave_i_frame_msssim_y,ave_i_frame_msssim_u,ave_i_frame_msssim_v,ave_p_frame_bpp,ave_p_frame_psnr,ave_p_frame_msssim,ave_p_frame_psnr_y,ave_p_frame_psnr_u,ave_p_frame_psnr_v,ave_p_frame_msssim_y,ave_p_frame_msssim_u,ave_p_frame_msssim_v,ave_all_frame_bpp,ave_all_frame_psnr,ave_all_frame_msssim,ave_all_frame_psnr_y,ave_all_frame_psnr_u,ave_all_frame_psnr_v,ave_all_frame_msssim_y,ave_all_frame_msssim_u,ave_all_frame_msssim_v
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,1,1786229539,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=1,time=1786229539_encode.json",encode_only,100,100,0,1692162,4061,,1723.886719,381.294922,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,1,1786284808,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=1,time=1786284808_decode.json",decode_only,100,100,0,,,6.558316,1603.605469,346.997559,64,1.052678,0.065264,37.878407,0.0,36.15964,42.897167,43.172246,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.065264,37.878407,0.0,36.15964,42.897167,43.172246,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,30,1786278499,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=30,time=1786278499_encode.json",encode_only,100,4,96,399957,959,6.340355,1924.261719,433.519531,64,2.714961,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,30,1786278752,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=30,time=1786278752_decode.json",decode_only,100,4,96,,,6.011095,1865.5625,433.588379,64,1.644778,0.063862,37.99589,0.0,36.280375,42.981504,43.303371,0.0,0.0,0.0,0.013396,36.624158,0.0,34.9066,42.050494,41.503169,0.0,0.0,0.0,0.015414,36.679027,0.0,34.961551,42.087735,41.575177,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,100,1786229769,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=100,time=1786229769_encode.json",encode_only,100,1,99,335277,804,,1910.765625,433.332031,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,1920x1080,1920,1080,BasketballDrive_1920x1080_50.yuv,summary,32,100,1786275052,"1920x1080/BasketballDrive_1920x1080_50.yuv/BasketballDrive_1920x1080_50.yuv,q=32,gop=100,time=1786275052_decode.json",decode_only,100,1,99,,,5.900848,1855.597656,433.588379,64,1.658601,0.054429,38.656931,0.0,36.933305,43.706338,43.949282,0.0,0.0,0.0,0.0125,36.466132,0.0,34.732686,41.952003,41.38094,0.0,0.0,0.0,0.012919,36.48804,0.0,34.754692,41.969547,41.406623,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,352x288,352,288,waterfall_cif.yuv,summary,32,1,1786271455,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=1,time=1786271455_encode.json",encode_only,100,100,0,362444,869,6.02146,1436.640625,155.305176,64,7.859207,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,352x288,352,288,waterfall_cif.yuv,summary,32,1,1786274516,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=1,time=1786274516_decode.json",decode_only,100,100,0,,,5.831261,1423.445312,144.275879,64,9.483349,0.285699,31.989185,0.0,30.474224,35.861084,37.207049,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.285699,31.989185,0.0,30.474224,35.861084,37.207049,0.0,0.0,0.0
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,encode,352x288,352,288,waterfall_cif.yuv,summary,32,30,1786271489,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=30,time=1786271489_encode.json",encode_only,100,4,96,54438,130,6.053688,1511.109375,189.870117,64,8.239077,,,,,,,,,,,,,,,,,,,,,,,,,,,
nvcr.python-dcvc-rt.gop.v1,jetson-orin,DCVC-RT,decode,352x288,352,288,waterfall_cif.yuv,summary,32,30,1786274545,"352x288/waterfall_cif.yuv/waterfall_cif.yuv,q=32,gop=30,time=1786274545_decode.json",decode_only,100,4,96,,,5.740369,1473.777344,149.383789,64,14.323198,0.283657,32.000377,0.0,30.491244,35.843769,37.211788,0.0,0.0,0.0,0.032641,34.696617,0.0,33.476253,37.766771,38.948643,0.0,0.0,0.0,0.042682,34.588767,0.0,33.356853,37.689851,38.879168,0.0,0.0,0.0
