"schema","hardware","execution_mode","container_image","container_digest","operation","resolution","input","size","fps","frames","warmup_frames","run_index","runs_planned","qp","gop_size","engine_profile","payload_bytes","payload_bpp","codec_time_seconds","throughput_fps","psnr_yuv","peak_memory_mb","peak_gpu_memory_mb","peak_system_memory_mb","min_largest_free_block_mb","memory_sampler","memory_sample_ms"
"resolution-matrix.v1","rtx4070","native","","","encode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","30","qcif","13283","0.041928662","0.111500","898.100000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","qcif","/home/oelghati/NVCR/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","30","qcif","13283","0.041928662","0.097000","1032.280500","38.156101","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","30","cif","59909","0.047276673","0.189","529.809","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","30","cif","59909","0.047276673","0.172","581.854","34.444886","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","30","cif","59909","0.047276673","0.191","522.827","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","30","cif","59909","0.047276673","0.172","582.602","34.444886","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","30","cif","59909","0.047276673","0.190000","526.318000","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","cif","/home/oelghati/NVCR/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","30","cif","59909","0.047276673","0.172000","582.228000","34.444886","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","30","360p","94287","0.032738542","0.270","370.496","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","30","360p","94287","0.032738542","0.262","381.263","34.940017","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","30","360p","94287","0.032738542","0.245","408.867","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","30","360p","94287","0.032738542","0.262","381.810","34.940017","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","30","360p","94287","0.032738542","0.257500","389.681500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","360p","/home/oelghati/NVCR/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","30","360p","94287","0.032738542","0.262000","381.536500","34.940017","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","540p","/home/oelghati/NVCR/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","30","540p","159188","0.024566049","0.473","211.500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","540p","/home/oelghati/NVCR/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","30","540p","159188","0.024566049","0.501","199.467","35.974793","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","540p","/home/oelghati/NVCR/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","2","32","30","540p","159188","0.024566049","0.462","216.238","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","decode","540p","/home/oelghati/NVCR/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","2","32","30","540p","159188","0.024566049","0.498","200.980","35.974793","null","null","null","null","none","0"
"resolution-matrix.v1","rtx4070","native","","","encode","540p","/home/oelghati/NVCR/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","30","540p","159188","0.024566049","0.467500","213.869000","null","null","null","null","null","none","0"
