campaign,sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,median,sample_std,cv_percent,minimum,maximum,ci95_low,ci95_high
full,basketball-360p,640,360,21,100,python,decode,throughput,process_fps,10,8.01480224090714,8.061872005029295,0.09643387771757814,1.2031972195818452,7.884797709736586,8.133163709686285,7.945817600510637,8.083786881303645
full,basketball-360p,640,360,21,100,python,decode,throughput,process_seconds,10,12.478545972599955,12.404131321500245,0.15068991371817952,1.2075919265678892,12.295338391000769,12.68263355399904,12.370748902158867,12.586343043041042
full,basketball-360p,640,360,21,100,python,decode,throughput,throughput_fps,10,40.4222923751505,40.30707738694423,0.5213782209147323,1.2898284344587252,39.690857988346565,41.28670689244834,40.04932086418723,40.795263886113766
full,basketball-360p,640,360,21,100,python,encode,memory,process_peak_rss_mib,10,1474.537890625,1474.7578125,1.7998268420913681,0.12206039963669503,1470.9296875,1476.94140625,1473.2503720639268,1475.8254091860733
full,basketball-360p,640,360,21,100,python,encode,throughput,codec_seconds,10,3.182096569200735,3.1940865170014376,0.06397013971327432,2.0103142164960146,3.0661425060061447,3.2855295940007636,3.136335087979805,3.227858050421665
full,basketball-360p,640,360,21,100,python,encode,throughput,process_fps,10,7.447444973626517,7.435509864985974,0.07880028540069062,1.0580848288204134,7.343883825231082,7.573825026514855,7.3910746452712806,7.503815301981754
full,basketball-360p,640,360,21,100,python,encode,throughput,process_seconds,10,13.42877222079992,13.44897696100088,0.14160285444992673,1.0544735745133653,13.203368132999458,13.616773138000099,13.327475640961502,13.530068800638336
full,basketball-360p,640,360,21,100,python,encode,throughput,throughput_fps,10,31.437320657436093,31.30785621661208,0.6356988950252143,2.0221153766640985,30.43649345986587,32.614270146972615,30.98256906275065,31.892072252121537
full,basketball-360p,640,360,42,1,python,decode,memory,process_peak_rss_mib,10,1371.794140625,1372.560546875,2.157597306091641,0.15728287810798075,1368.47265625,1374.64453125,1370.2506884917454,1373.3375927582545
full,basketball-360p,640,360,42,1,python,decode,throughput,codec_seconds,10,4.948817118800707,4.951761853000789,0.0366001673636371,0.7395740534559653,4.894110544000796,5.024490288997185,4.9226349363168005,4.974999301284614
full,basketball-360p,640,360,42,1,python,decode,throughput,process_fps,10,6.56444644092046,6.594923565667729,0.07271600100131988,1.1077247968394377,6.391744713786613,6.626084715197607,6.5124285474283115,6.616464334412609
full,basketball-360p,640,360,42,1,python,decode,throughput,process_seconds,10,15.235285866000186,15.163180277499123,0.17142377865860964,1.1251759905678396,15.09186862199931,15.645180538000204,15.112656682086133,15.35791504991424
full,basketball-360p,640,360,42,1,python,decode,throughput,throughput_fps,10,20.20784090482767,20.194833394974296,0.14903555239275992,0.7375134884259466,19.90251632468744,20.432721962641416,20.101227293185723,20.314454516469617
full,basketball-360p,640,360,42,1,python,encode,memory,process_peak_rss_mib,10,1403.3171875,1403.650390625,3.233084610748753,0.23038872747710523,1398.80859375,1408.75,1401.0043780960564,1405.6299969039437
full,basketball-360p,640,360,42,1,python,encode,throughput,codec_seconds,10,5.763043855897877,5.749587044997497,0.04225580890606238,0.7332203252768578,5.7152274579948426,5.839857871000277,5.7328158711788015,5.793271840616952
