schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","3","32","30","cif","66167","0.052215120","0.174","576.186","null","531.328125","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","3","32","30","cif","66167","0.052215120","0.172","580.781","34.657187","535.054688","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","3","3","32","30","cif","66167","0.052215120","0.173","577.141","null","477.191406","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","3","3","32","30","cif","66167","0.052215120","0.173","578.411","34.657187","477.328125","982.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","3","32","30","cif","66167","0.052215120","0.179000","560.222333","null","531.328125","982.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","cif","/home/oelghati/datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","3","32","30","cif","66167","0.052215120","0.172333","579.772000","34.657187","535.054688","982.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","3","32","30","360p","96562","0.033528472","0.261","383.475","null","494.519531","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","3","32","30","360p","96562","0.033528472","0.263","380.240","34.966665","551.925781","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","3","32","30","360p","96562","0.033528472","0.246","406.200","null","524.011719","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","3","32","30","360p","96562","0.033528472","0.264","379.506","34.966665","538.949219","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","3","3","32","30","360p","96562","0.033528472","0.245","407.521","null","494.5625","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","3","3","32","30","360p","96562","0.033528472","0.264","379.336","34.966665","494.96875","1050.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","3","32","30","360p","96562","0.033528472","0.250667","399.065333","null","524.011719","1050.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","360p","/home/oelghati/datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","3","32","30","360p","96562","0.033528472","0.263667","379.694000","34.966665","551.925781","1050.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","3","32","30","540p","163019","0.025157253","0.474","210.762","null","489.378906","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","3","32","30","540p","163019","0.025157253","0.499","200.353","35.993917","491.886719","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","3","32","30","540p","163019","0.025157253","0.463","215.815","null","489.332031","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","3","32","30","540p","163019","0.025157253","0.500","200.020","35.993917","491.875","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","3","3","32","30","540p","163019","0.025157253","0.464","215.431","null","489.34375","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","3","3","32","30","540p","163019","0.025157253","0.502","199.374","35.993917","491.871094","1220.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","540p","/home/oelghati/datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","3","32","30","540p","163019","0.025157253","0.467000","214.002667","null","489.378906","1220.000000","null","null","procfs+nvidia-smi","100"
