sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,sample_std,cv_percent,minimum,maximum
akiyo-qcif,176,144,63,1,python,encode,memory,process_peak_rss_mib,10,1287.9734375,0.16781020456737558,0.01302901128870335,1287.58203125,1288.16796875
akiyo-qcif,176,144,63,1,python,encode,throughput,codec_seconds,10,0.5150546285021165,0.005021727928316018,0.9749893798489343,0.5044522860043799,0.5211841760028619
akiyo-qcif,176,144,63,1,python,encode,throughput,process_seconds,10,3.7388202891999525,0.01298835540577399,0.34739180814045734,3.7125846719991387,3.760461220000252
akiyo-qcif,176,144,63,1,python,encode,throughput,throughput_fps,10,194.17089048310416,1.9064762651231515,0.9818548292072875,191.87075242179048,198.23480391390626
akiyo-qcif,176,144,63,30,nvcr,decode,memory,process_peak_rss_mib,10,519.514453125,0.09367853902599645,0.018031940875272726,519.359375,519.7109375
akiyo-qcif,176,144,63,30,nvcr,decode,throughput,codec_seconds,10,0.0967930638,0.00282932790210902,2.9230688553832307,0.095624606,0.104833803
akiyo-qcif,176,144,63,30,nvcr,decode,throughput,process_seconds,10,1.1559162175999689,0.018125648590235657,1.568076328911621,1.1275218559999303,1.1801891969998906
akiyo-qcif,176,144,63,30,nvcr,decode,throughput,throughput_fps,10,1033.872468320148,28.151439760895688,2.7229122182387333,953.8907979900338,1045.7559427748126
akiyo-qcif,176,144,63,30,nvcr,encode,memory,process_peak_rss_mib,10,519.47421875,0.08333740224441377,0.01604264451178094,519.3515625,519.609375
akiyo-qcif,176,144,63,30,nvcr,encode,throughput,codec_seconds,10,0.1070727935,0.00014337594060003336,0.13390510877072928,0.106928823,0.107374019
akiyo-qcif,176,144,63,30,nvcr,encode,throughput,process_seconds,10,1.166274198400032,0.01958839717223783,1.679570481719515,1.147703067000009,1.1990128590000495
akiyo-qcif,176,144,63,30,nvcr,encode,throughput,throughput_fps,10,933.9455704189446,1.2492554854278675,0.1337610589948494,931.3239918867151,935.2015405612385
akiyo-qcif,176,144,63,30,python,decode,memory,process_peak_rss_mib,10,1353.554296875,0.1396747650250718,0.010319110607350145,1353.30859375,1353.76171875
akiyo-qcif,176,144,63,30,python,decode,throughput,codec_seconds,10,0.29111964520052425,0.0011611898599655686,0.398870319852766,0.2891871540005013,0.2929746819936554
akiyo-qcif,176,144,63,30,python,decode,throughput,process_seconds,10,3.572535114100037,0.008612326344109826,0.24107044630908742,3.557973203999836,3.5825078079997184
akiyo-qcif,176,144,63,30,python,decode,throughput,throughput_fps,10,343.5062981775561,1.3699198825635248,0.3988048806765756,341.3264221997366,345.7968260921667
akiyo-qcif,176,144,63,30,python,encode,memory,process_peak_rss_mib,10,1359.4171875,0.1362006552465271,0.010019047610910622,1359.2265625,1359.7109375
akiyo-qcif,176,144,63,30,python,encode,throughput,codec_seconds,10,0.36409372659966266,0.001879626298713697,0.5162479222775597,0.3607962329997463,0.3678849089938012
akiyo-qcif,176,144,63,30,python,encode,throughput,process_seconds,10,3.6561881024000287,0.011953278907063818,0.3269328210771578,3.6372184330000437,3.679900701000406
akiyo-qcif,176,144,63,30,python,encode,throughput,throughput_fps,10,274.6611342976191,1.4163601266133075,0.5156754814383598,271.82414270133864,277.1647563184794
