sequence,width,height,gop,qp,implementation,content_id,input_sha256,frames,entropy_bpp,file_bpp,psnr_yuv_db,quality_contract,fingerprint
basketball-360p,640,360,1,42,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.21767083333333334,0.21781180555555554,38.30037716517786,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,1,63,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.5149024305555555,0.5150642361111111,42.52186127090818,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,0,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.004734722222222223,0.007931944444444445,28.710021650415527,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,21,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.01615173611111111,0.019348958333333333,32.771968328941064,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,42,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.05293020833333333,0.05612743055555556,36.856331904332905,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,63,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.15064131944444445,0.15383854166666666,40.3212075132598,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,0,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.004682291666666667,0.0048,28.715332316649338,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,21,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.016144097222222223,0.01628715277777778,32.769493430142745,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,42,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.052827430555555555,0.05297048611111111,36.86557460104075,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,30,63,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.1504809027777778,0.15062465277777778,40.34087909858426,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,0,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.0033916666666666665,0.006588888888888889,28.35690702558213,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,21,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.01275798611111111,0.01595520833333333,32.47332219027932,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,42,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.04450173611111111,0.04769895833333333,36.64046873378834,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,63,nvcr,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.13290208333333334,0.13609930555555555,40.1890782764895,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,0,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.0033697916666666668,0.003484375,28.370500704476395,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,21,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.012714236111111112,0.012856944444444445,32.473718668981675,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,42,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.04450763888888889,0.044650694444444444,36.65164552643488,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-360p,640,360,100,63,python,basketball-drive,09b7d325b7f209766e88f4621ae5ea03923ea17d08c8ee1a30577b81988a449b,100,0.13274270833333332,0.1328857638888889,40.20838565406153,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,0,nvcr,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.027360802469135803,0.02878179012345679,31.163280267971544,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,21,nvcr,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.06599043209876543,0.06741141975308641,35.127766821012706,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,42,nvcr,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.16277669753086418,0.16419768518518518,39.153365046808275,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,63,nvcr,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.3861950617283951,0.38761604938271604,42.821235416984194,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,0,python,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.027349845679012344,0.0274125,31.17115050922056,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,21,python,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.06582685185185186,0.06588950617283951,35.13353928199852,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,42,python,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.16243086419753086,0.1624935185185185,39.171718822130956,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,1,63,python,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.38618317901234567,0.3862766975308642,42.868113734454475,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
basketball-540p,960,540,30,0,nvcr,basketball-drive,4ffe7801f3adfaef8ef4480a2b72d9696ca0459570b9846d3445eafda670c053,100,0.0037987654320987656,0.005219753086419753,29.699333126597267,decoded-yuv420p8-pooled-plane-6-1-1-v1,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e
