campaign,campaign_fingerprint,execution_id,case_id,sequence,width,height,qp,gop,implementation,operation,mode,repeat,frames,timed_frames,warmup_frames,codec_seconds,throughput_fps,initialization_seconds,process_seconds,process_fps,process_peak_rss_mib,file_bytes,entropy_bytes,file_bpp,entropy_bpp,pooled_psnr_yuv_db
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,4e8cab55-0143-4192-99cb-1af52b4d00e9-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,1,100,100,10,0.167156788,598.2407367148021,0.929517255,1.2617731249999906,79.25355043522642,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,4e8cab55-0143-4192-99cb-1af52b4d00e9-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,1,100,100,10,0.19050737,524.9140755026957,0.945884436,1.3120799229998283,76.21486941997289,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,9fbf01a5-6afc-4a5e-bfca-6c769934f639-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,2,100,100,10,0.167432139,597.2568982111612,0.930992074,1.239845569999943,80.65520611571374,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,9fbf01a5-6afc-4a5e-bfca-6c769934f639-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,2,100,100,10,0.191062589,523.3886996056565,0.921515475,1.2607089749999432,79.32044744902726,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,65940919-2f22-4e94-a5ea-897dc7e87858-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,3,100,100,10,0.166672865,599.9776868298268,0.910203114,1.2195988550001857,81.99417340383185,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,65940919-2f22-4e94-a5ea-897dc7e87858-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,3,100,100,10,0.19087033,523.9158962003156,0.92608001,1.2599502850007411,79.3682109448796,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,954b1808-3edb-4423-9a94-20415a46f882-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,4,100,100,10,0.167172739,598.1836548122837,0.907600928,1.2600718409994442,79.36055449083248,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,954b1808-3edb-4423-9a94-20415a46f882-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,4,100,100,10,0.190906397,523.8169153650729,0.931479342,1.3104734250000547,76.30830056702281,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,354d5efa-03a3-49cd-8c32-fa2767a4e72d-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,5,100,100,10,0.16743272,597.2548256995407,0.936532087,1.2601299200005087,79.35689678724526,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,354d5efa-03a3-49cd-8c32-fa2767a4e72d-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,5,100,100,10,0.191014237,523.521186538572,0.908751741,1.2588620189999347,79.43682348875853,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,68540323-3191-4d83-ae1a-dc9b5fc9ba20-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,6,100,100,10,0.167258896,597.8755234639358,0.931090617,1.2595339780000359,79.39444409335113,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,68540323-3191-4d83-ae1a-dc9b5fc9ba20-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,6,100,100,10,0.190667769,524.472492254315,0.907234913,1.2397692599997754,80.66017058691882,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,45a7cf59-1a62-4f4d-871c-3ff3bd83db49-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,7,100,100,10,0.167164397,598.2135059536631,0.971309795,1.2802123969995591,78.11203846671893,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,45a7cf59-1a62-4f4d-871c-3ff3bd83db49-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,7,100,100,10,0.190846414,523.9815509449395,0.944652658,1.31008903700058,76.33068988116091,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,99931310-5675-4633-8636-bc397d0beb2e-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,8,100,100,10,0.168840218,592.2759469547713,0.938909574,1.2503749240004254,79.97601205889664,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,99931310-5675-4633-8636-bc397d0beb2e-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,8,100,100,10,0.190621929,524.5986153041185,0.908256576,1.250198031999389,79.98732795961469,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,6df503fd-9b2f-4921-a9d0-1e3a9debb273-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,decode,throughput,9,100,100,10,0.167177402,598.1669699592533,0.937323883,1.2596797609985515,79.38525575796322,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,6df503fd-9b2f-4921-a9d0-1e3a9debb273-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,nvcr,encode,throughput,9,100,100,10,0.190760766,524.216808816966,0.904585696,1.2499514060000365,80.00311013690485,,24666,15458,0.07785984848484849,0.04879419191919192,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,dc5a65b9-a341-4b76-a358-4d49b01170e6-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,0,100,100,10,0.39064473900543817,255.9870644990509,1.559451701999933,3.588180294000267,,1263.8125,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,dc5a65b9-a341-4b76-a358-4d49b01170e6-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,0,100,100,10,0.5147996789892204,194.25031537771014,1.5493027379998239,3.7306614499993884,,1288.07421875,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,73a286f4-ec59-4d17-9dee-09da1d5ff411-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,1,100,100,10,0.4279334999864659,233.68116775892204,1.5735815250009182,3.6402830419992824,,1263.56640625,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,73a286f4-ec59-4d17-9dee-09da1d5ff411-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,1,100,100,10,0.5224954620061908,191.38922205378915,1.5954380909988686,3.8191840419985965,,1287.875,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,fea7fc64-1197-4f68-87b9-283c5d6ef019-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,2,100,100,10,0.39330222999888065,254.25739386294507,1.5637232300014148,3.5905549500002962,,1263.62109375,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,fea7fc64-1197-4f68-87b9-283c5d6ef019-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,2,100,100,10,0.5144065620042966,194.39876429718785,1.558170867001536,3.748385344999406,,1287.84375,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,c65e046a-5323-4d11-ae9c-2261ba1fdf01-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,3,100,100,10,0.4157547080067161,240.52644040866664,1.5505289359989547,3.597559771998931,,1263.81640625,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,c65e046a-5323-4d11-ae9c-2261ba1fdf01-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,3,100,100,10,0.5118583460043737,195.36655166534203,1.5672188299995469,3.750099726001281,,1287.59765625,15775,15369,0.04979482323232323,0.04851325757575758,
