sequence,width,height,qp,gop,nvcr_psnr_yuv_db,python_psnr_yuv_db,psnr_delta_python_minus_nvcr_db,nvcr_entropy_bpp,python_entropy_bpp,entropy_bpp_delta_percent,nvcr_file_bpp,python_file_bpp,file_bpp_delta_percent
fourpeople-720p,1280,720,63,30,43.911421782,44.008401465,0.096979684,0.045382465278,0.045223350694,-0.350608065,0.046181770833,0.045259809028,-1.996376035
fourpeople-720p,1280,720,63,100,43.851727276,43.971127439,0.119400162,0.031169097222,0.030964062500,-0.657814119,0.031968402778,0.031000000000,-3.029249802
waterfall-cif,352,288,0,1,26.736012303,26.741380985,0.005368682,0.035564236111,0.035518465909,-0.128697273,0.042830650253,0.035838857323,-16.324274528
waterfall-cif,352,288,0,30,28.023793062,28.047948359,0.024155297,0.004788510101,0.004858743687,1.466710613,0.012054924242,0.005116792929,-57.554333595
waterfall-cif,352,288,0,100,28.013806031,28.029083008,0.015276977,0.002269570707,0.002272727273,0.139082058,0.009535984848,0.002522885101,-73.543528633
waterfall-cif,352,288,21,1,29.662357517,29.661799870,-0.000557647,0.131324179293,0.131126104798,-0.150828656,0.138590593434,0.131446496212,-5.154821150
waterfall-cif,352,288,21,30,32.292541453,32.283075278,-0.009466174,0.023908617424,0.023799715909,-0.455490643,0.031175031566,0.024068023990,-22.797114289
waterfall-cif,352,288,21,100,32.561347469,32.580981250,0.019633781,0.011579861111,0.011615372475,0.306664849,0.018846275253,0.011873421717,-36.998576334
waterfall-cif,352,288,42,1,34.419109310,34.424166268,0.005056958,0.525031565657,0.524331597222,-0.133319305,0.532297979798,0.524651988636,-1.436411832
waterfall-cif,352,288,42,30,36.335168233,36.359494431,0.024326198,0.068502209596,0.068456439394,-0.066815658,0.075768623737,0.068749210859,-9.264273960
waterfall-cif,352,288,42,100,36.529374303,36.584389551,0.055015248,0.035958017677,0.036098484848,0.390642145,0.043224431818,0.036385732323,-15.821375105
waterfall-cif,352,288,63,1,39.936101021,39.954115572,0.018014550,1.333105271465,1.332634154040,-0.035339852,1.340371685606,1.333099747475,-0.542531464
waterfall-cif,352,288,63,30,39.585357547,39.608414299,0.023056752,0.165033143939,0.164384469697,-0.393056950,0.172299558081,0.164714330808,-4.402348652
waterfall-cif,352,288,63,100,39.605119767,39.630967018,0.025847251,0.106003787879,0.105475852273,-0.498034661,0.113270202020,0.105800978535,-6.594164530
