schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","30","qcif","13269","0.041884470","0.498000","200.790500","null","1086.195312","null","2361.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","30","qcif","13269","0.041884470","0.789500","126.831000","38.099315","1073.890625","null","2355.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","30","cif","59928","0.047291667","1.159","86.313","null","1085.855469","null","2359.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","30","cif","59928","0.047291667","1.667","59.994","34.447444","1073.410156","null","2348.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","30","cif","59928","0.047291667","1.119","89.347","null","1085.785156","null","2358.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","30","cif","59928","0.047291667","1.618","61.795","34.447444","1073.386719","null","2355.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","30","cif","59928","0.047291667","1.139000","87.830000","null","1085.855469","null","2359.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","30","cif","59928","0.047291667","1.642500","60.894500","34.447444","1073.410156","null","2355.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","30","360p","94213","0.032712847","2.190","45.660","null","1124.523438","null","2395.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","30","360p","94213","0.032712847","2.545","39.290","34.960829","1114.214844","null","2384.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","30","360p","94213","0.032712847","2.148","46.564","null","1122.578125","null","2397.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","30","360p","94213","0.032712847","2.506","39.899","34.960829","1112.230469","null","2386.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","30","360p","94213","0.032712847","2.169000","46.112000","null","1124.523438","null","2397.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","30","360p","94213","0.032712847","2.525500","39.594500","34.960829","1114.214844","null","2386.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","30","540p","159127","0.024556636","4.610","21.690","null","1096.566406","null","2381.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","30","540p","159127","0.024556636","4.509","22.180","35.982954","1099.246094","null","2386.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","2","32","30","540p","159127","0.024556636","4.640","21.554","null","1096.535156","null","2386.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","2","2","32","30","540p","159127","0.024556636","4.519","22.129","35.982954","1099.226562","null","2388.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","30","540p","159127","0.024556636","4.625000","21.622000","null","1096.566406","null","2386.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","average","2","32","30","540p","159127","0.024556636","4.514000","22.154500","35.982954","1099.246094","null","2388.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","30","720p","138992","0.012065278","8.327","12.010","null","1075.722656","null","2365.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","1","2","32","30","720p","138992","0.012065278","7.327","13.647","40.449633","1077.773438","null","2366.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","30","720p","138992","0.012065278","8.349","11.978","null","1073.75","null","2361.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","2","2","32","30","720p","138992","0.012065278","7.508","13.320","40.449633","1077.753906","null","2368.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","30","720p","138992","0.012065278","8.338000","11.994000","null","1075.722656","null","2365.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","720p","/home/oelghati/nvcr/../datasets/720p/FourPeople_1280x720_60.yuv","1280x720","30","100","10","average","2","32","30","720p","138992","0.012065278","7.417500","13.483500","40.449633","1077.773438","null","2368.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","30","1080p","406607","0.015686998","18.503","5.404","null","1128.09375","null","2448.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","1","2","32","30","1080p","406607","0.015686998","16.901","5.917","36.535447","1137.785156","null","2451.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","30","1080p","406607","0.015686998","18.657","5.360","null","1128.078125","null","2654.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","2","2","32","30","1080p","406607","0.015686998","16.498","6.061","36.535447","1135.8125","null","2614.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","2","32","30","1080p","406607","0.015686998","18.580000","5.382000","null","1128.093750","null","2654.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","1080p","/home/oelghati/nvcr/../datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","2","32","30","1080p","406607","0.015686998","16.699500","5.989000","36.535447","1137.785156","null","2614.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","100","qcif","10099","0.031878157","0.466","214.515","null","1079.363281","null","2576.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","2","32","100","qcif","10099","0.031878157","0.764","130.874","37.921841","1071.109375","null","2568.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","100","qcif","10099","0.031878157","0.464","215.698","null","1079.347656","null","2580.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","2","32","100","qcif","10099","0.031878157","0.745","134.211","37.921841","1071.128906","null","2570.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","100","qcif","10099","0.031878157","0.465000","215.106500","null","1079.363281","null","2580.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","qcif","/home/oelghati/nvcr/../datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","2","32","100","qcif","10099","0.031878157","0.754500","132.542500","37.921841","1071.128906","null","2570.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","100","cif","32870","0.025939078","1.118","89.475","null","1080.074219","null","2574.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","1","2","32","100","cif","32870","0.025939078","1.571","63.636","34.742130","1071.660156","null","2566.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","100","cif","32870","0.025939078","1.127","88.694","null","1080.074219","null","2577.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","2","2","32","100","cif","32870","0.025939078","1.620","61.728","34.742130","1071.6875","null","2565.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","100","cif","32870","0.025939078","1.122500","89.084500","null","1080.074219","null","2577.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","cif","/home/oelghati/nvcr/../datasets/cif/waterfall_cif.yuv","352x288","30","100","10","average","2","32","100","cif","32870","0.025939078","1.595500","62.682000","34.742130","1071.687500","null","2566.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","100","360p","77928","0.027058333","2.076","48.173","null","1119.757812","null","2604.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","1","2","32","100","360p","77928","0.027058333","2.487","40.202","34.705831","1109.652344","null","2593.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","100","360p","77928","0.027058333","2.078","48.118","null","1119.699219","null","2600.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","2","2","32","100","360p","77928","0.027058333","2.385","41.929","34.705831","1111.628906","null","2596.0","4.0","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","100","360p","77928","0.027058333","2.077000","48.145500","null","1119.757812","null","2604.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","decode","360p","/home/oelghati/nvcr/../datasets/360p/BasketballDrive_640x360_50.yuv","640x360","50","100","10","average","2","32","100","360p","77928","0.027058333","2.436000","41.065500","34.705831","1111.628906","null","2596.000000","4.000000","procfs+nvidia-smi+tegrastats","100"
"resolution-matrix.v1","jetson-orin","native","","","encode","540p","/home/oelghati/nvcr/../datasets/540p/BasketballDrive_960x540_50.yuv","960x540","50","100","10","1","2","32","100","540p","132180","0.020398148","4.452","22.462","null","1095.75","null","2583.0","4.0","procfs+nvidia-smi+tegrastats","100"
